fund_name,name_th,amc_short_name
AFMOAT-HSSF,บริษัทหลักทรัพย์จัดการกองทุน ทาลิส จำกัด,TALISAM
ASIA-B,บริษัทหลักทรัพย์จัดการกองทุน ยูโอบี (ไทย) จำกัด,UOBAM
ASP,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-AAA-A,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-AAA-R,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-ASIAN,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-BRIC,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-CHINA,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-CHINABOND-A,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-CHINABOND-R,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-DIGIBLOC,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-DIGIBLOCRMF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-DIGIBLOC-SSF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-DISRUPT,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-DISRUPTRMF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-DPLUS,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-ERF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-EUG,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-EUPROP,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-EUROPE QUALITY,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-EVOCHINA,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-EVOCHINARMF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-EVOCHINA-SSF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-FFPLUSA,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-FFPLUSR,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-FLEXPLUS,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-FRF,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-GCC-UI,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASPGIPLUS-A,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASPGIPLUS-R,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-GOLD,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-HSI,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-IHEALTH,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-INDIA,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
ASP-JHC,บริษัทหลักทรัพย์จัดการกองทุน แอสเซท พลัส จำกัด,ASSETFUND
